Date,GFC_2008,Oil_Glut_2014,COVID_2020,Energy_Crisis_2022
2007-01-01,54.5030434782609,,,
2007-02-01,57.9695,,,
2007-03-01,62.3572727272727,,,
2007-04-01,67.6904761904762,,,
2007-05-01,67.7178260869565,,,
2007-06-01,70.6190476190476,,,
2007-07-01,76.1331818181818,,,
2007-08-01,71.3130434782609,,,
2007-09-01,76.772,,,
2007-10-01,82.5073913043478,,,
2007-11-01,92.7313636363636,,,
2007-12-01,91.5195238095238,,,
2008-01-01,92.0917391304348,,,
2008-02-01,94.722380952381,,,
2008-03-01,103.161904761905,,,
2008-04-01,110.033181818182,,,
2008-05-01,123.862272727273,,,
2008-06-01,132.760476190476,,,
2008-07-01,133.585217391304,,,
2008-08-01,113.800476190476,,,
2008-09-01,98.7554545454546,,,
2008-10-01,71.9634782608696,,,
2008-11-01,52.7135,,,
2008-12-01,40.5117391304348,,,
2009-01-01,43.1745454545455,,,
2009-02-01,42.9105,,,
2009-03-01,46.5827272727273,,,
2009-04-01,50.5190909090909,,,
2009-05-01,57.5014285714286,,,
2009-06-01,68.58,,,
2009-07-01,64.9043478260869,,,
2009-08-01,72.5919047619048,,,
2009-09-01,67.5131818181818,,,
2009-10-01,72.9686363636364,,,
2009-11-01,76.9366666666667,,,
2009-12-01,74.7895652173913,,,
2014-01-01,,107.926956521739,,
2014-02-01,,108.838,,
2014-03-01,,107.868095238095,,
2014-04-01,,108.003636363636,,
2014-05-01,,109.832272727273,,
2014-06-01,,112.240952380952,,
2014-07-01,,107.462608695652,,
2014-08-01,,102.401904761905,,
2014-09-01,,97.8527272727273,,
2014-10-01,,87.5847826086957,,
2014-11-01,,79.2295,,
2014-12-01,,62.9039130434783,,
2015-01-01,,48.9331818181818,,
2015-02-01,,58.254,,
2015-03-01,,56.5245454545454,,
2015-04-01,,59.8263636363636,,
2015-05-01,,65.1938095238095,,
2015-06-01,,62.62,,
2015-07-01,,56.8295652173913,,
2015-08-01,,47.5338095238095,,
2015-09-01,,48.0304545454545,,
2015-10-01,,48.9063636363636,,
2015-11-01,,45.0952380952381,,
2015-12-01,,38.5252173913043,,
2016-01-01,,32.0452380952381,,
2016-02-01,,33.762380952381,,
2016-03-01,,39.7921739130435,,
2016-04-01,,43.3304761904762,,
2016-05-01,,47.735,,
2016-06-01,,49.8772727272727,,
2016-07-01,,46.5985714285714,,
2016-08-01,,47.0521739130435,,
2016-09-01,,47.3768181818182,,
2016-10-01,,51.4138095238095,,
2016-11-01,,46.9422727272727,,
2016-12-01,,55.0227272727273,,
2019-01-01,,,59.9447826086956,
2019-02-01,,,64.384,
2019-03-01,,,66.9419047619048,
2019-04-01,,,71.4759090909091,
2019-05-01,,,70.3891304347826,
2019-06-01,,,63.2085,
2019-07-01,,,64.3221739130435,
2019-08-01,,,59.6181818181818,
2019-09-01,,,62.4309523809524,
2019-10-01,,,59.6313043478261,
2019-11-01,,,62.6866666666667,
2019-12-01,,,65.3481818181818,
2020-01-01,,,63.8986956521739,
2020-02-01,,,55.691,
2020-03-01,,,33.9472727272727,
2020-04-01,,,26.8486363636364,
2020-05-01,,,32.4223809523809,
2020-06-01,,,40.8604545454546,
2020-07-01,,,43.295652173913,
2020-08-01,,,45.0814285714286,
2020-09-01,,,41.9268181818182,
2020-10-01,,,41.6068181818182,
2020-11-01,,,44.05,
2020-12-01,,,50.3769565217391,
2021-01-01,,,55.2247619047619,55.2247619047619
2021-02-01,,,62.3625,62.3625
2021-03-01,,,65.7960869565217,65.7960869565217
2021-04-01,,,65.5318181818182,65.5318181818182
2021-05-01,,,68.3752380952381,68.3752380952381
2021-06-01,,,73.5127272727273,73.5127272727273
2021-07-01,,,74.4031818181818,74.4031818181818
2021-08-01,,,70.5881818181818,70.5881818181818
2021-09-01,,,74.7495454545454,74.7495454545454
2021-10-01,,,83.8652380952381,83.8652380952381
2021-11-01,,,80.8904545454545,80.8904545454545
2021-12-01,,,74.6782608695652,74.6782608695652
2022-01-01,,,,85.6223809523809
2022-02-01,,,,94.267
2022-03-01,,,,112.44
2022-04-01,,,,106.155714285714
2022-05-01,,,,112.113636363636
2022-06-01,,,,117.692727272727
2022-07-01,,,,105.252857142857
2022-08-01,,,,97.6430434782609
2022-09-01,,,,90.6081818181818
2022-10-01,,,,93.7185714285714
2022-11-01,,,,90.9386363636364
2022-12-01,,,,81.5031818181818
2023-01-01,,,,84.0818181818182
2023-02-01,,,,83.6325
2023-03-01,,,,79.2565217391304
2023-04-01,,,,83.536
2023-05-01,,,,75.7473913043478
2023-06-01,,,,74.975
2023-07-01,,,,80.1090476190476
2023-08-01,,,,85.1682608695652
2023-09-01,,,,92.6733333333333
2023-10-01,,,,88.9477272727273
2023-11-01,,,,82.1863636363636
2023-12-01,,,,77.5409523809524
